Original_Feature,Importance
Duration,0.3968574448316293
Distance_km,0.3149801355779513
Travel_Class,0.15589263973113288
Days_Before_Departure,0.02993755913937495
Aircraft_Type,0.021434397866886636
Booking_Urgency,0.01692065252286033
Route,0.013169487774515784
Destination,0.010443499657045236
Airline,0.010025054527884268
Total_Stops,0.008591407917887069
Source,0.005078341555203389
Month,0.0032130987792683688
Weekday,0.00308581170342669
Departure_Hour,0.0026511853179635664
Season,0.0026208670769331307
Booking_Channel,0.002279206470812826
Departure_Time_Of_Day,0.0011825981025221212
Passenger_Count,0.0010717407156587448
Is_Weekend,0.0005648707310434175
